model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
random_forest__context_diet_labels,2,context,17,4,0.022171292920326935,0.13649756362972099,1007,2574325.41285038
random_forest__context_diet_labels,2,context,17,5,0.01918715215259975,0.12355355903082332,1007,2574325.41285038
random_forest__context_diet_labels,2,diet,15,1,0.0012838268866169067,0.0038218714215387806,1007,2574325.41285038
random_forest__context_diet_labels,2,diet,15,2,0.0007072478616841071,-0.006044008891521346,1007,2574325.41285038
random_forest__context_diet_labels,2,diet,15,3,-0.0032951754237190156,-0.024480730109216364,1007,2574325.41285038
random_forest__context_diet_labels,2,diet,15,4,-0.0015691076927082936,-0.013572969276051228,1007,2574325.41285038
random_forest__context_diet_labels,2,diet,15,5,0.0015743672891553873,0.005262083786994887,1007,2574325.41285038
random_forest__context_diet_labels,2,labels,6,1,0.001824185277809559,0.011263910189625359,1007,2574325.41285038
random_forest__context_diet_labels,2,labels,6,2,0.00202094441363046,0.01233004754247713,1007,2574325.41285038
random_forest__context_diet_labels,2,labels,6,3,-0.0012505143016287579,-0.01878290320937337,1007,2574325.41285038
random_forest__context_diet_labels,2,labels,6,4,-0.00041088398296343365,-0.007027160462824145,1007,2574325.41285038
random_forest__context_diet_labels,2,labels,6,5,-0.0004424558343161522,-0.01069639459476901,1007,2574325.41285038
random_forest__context_diet_labels,3,context,17,1,0.018751987283710192,0.12114669280584811,1011,2776332.157348156
random_forest__context_diet_labels,3,context,17,2,0.012103676259703128,0.07684612552426784,1011,2776332.157348156
random_forest__context_diet_labels,3,context,17,3,0.02484798280122319,0.15544204255337263,1011,2776332.157348156
random_forest__context_diet_labels,3,context,17,4,0.015693044644132403,0.07877115723310169,1011,2776332.157348156
random_forest__context_diet_labels,3,context,17,5,0.026351144353506717,0.16164797474033743,1011,2776332.157348156
random_forest__context_diet_labels,3,diet,15,1,-0.0013427703432157545,-0.014179078891554453,1011,2776332.157348156
random_forest__context_diet_labels,3,diet,15,2,0.00010633657290315401,-0.00225291035768449,1011,2776332.157348156
random_forest__context_diet_labels,3,diet,15,3,0.0009436705322186101,0.011693562744911068,1011,2776332.157348156
random_forest__context_diet_labels,3,diet,15,4,-0.0028965941401894735,-0.01611813800319939,1011,2776332.157348156
random_forest__context_diet_labels,3,diet,15,5,0.0011781612864930346,0.0082364344342587,1011,2776332.157348156
random_forest__context_diet_labels,3,labels,6,1,0.000862576181919178,0.0001542719705442952,1011,2776332.157348156
random_forest__context_diet_labels,3,labels,6,2,-0.0006970674367434981,-0.006270076852723294,1011,2776332.157348156
random_forest__context_diet_labels,3,labels,6,3,2.2777595082068558e-05,-0.0023089035078056597,1011,2776332.157348156
random_forest__context_diet_labels,3,labels,6,4,0.0007407463669134862,0.0008237082972419874,1011,2776332.157348156
random_forest__context_diet_labels,3,labels,6,5,0.00021698892166960304,-0.0037324881463587367,1011,2776332.157348156
random_forest__context_diet_labels,4,context,17,1,0.01865904258395254,0.11669987657411973,1007,2777806.4952178
random_forest__context_diet_labels,4,context,17,2,0.012019854474227876,0.08140455683397618,1007,2777806.4952178
random_forest__context_diet_labels,4,context,17,3,0.014453952996564962,0.10196525186348615,1007,2777806.4952178
random_forest__context_diet_labels,4,context,17,4,0.019864365458688,0.13103074867809228,1007,2777806.4952178
random_forest__context_diet_labels,4,context,17,5,0.028547542547302435,0.16894087629465165,1007,2777806.4952178
random_forest__context_diet_labels,4,diet,15,1,-0.00264674700865955,-0.011902285522118916,1007,2777806.4952178
random_forest__context_diet_labels,4,diet,15,2,0.0003560458554249524,0.010244886117792507,1007,2777806.4952178
random_forest__context_diet_labels,4,diet,15,3,-0.003846316156266655,-0.022204240594619895,1007,2777806.4952178
random_forest__context_diet_labels,4,diet,15,4,0.000368882222922029,0.004384413280041577,1007,2777806.4952178
random_forest__context_diet_labels,4,diet,15,5,0.0017538606452070782,0.016447782081679407,1007,2777806.4952178
random_forest__context_diet_labels,4,labels,6,1,0.00028751812058905313,0.001447199728185744,1007,2777806.4952178
random_forest__context_diet_labels,4,labels,6,2,-3.25498677730407e-05,-0.002271933878525201,1007,2777806.4952178
random_forest__context_diet_labels,4,labels,6,3,-0.00014769947164425257,-0.00021141494828269547,1007,2777806.4952178
random_forest__context_diet_labels,4,labels,6,4,-1.2032447124776802e-05,-0.0006806465896207481,1007,2777806.4952178
