model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum,base_model,encoding,encoding_label
spline_logistic_water_nominal,2,water,1,-0.000617959181165223,-0.0042906732450452845,1007,2574325.41285038,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,2,water,2,-0.0008398096099834496,-0.005477993571099571,1007,2574325.41285038,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,2,water,3,-0.00041471377880347715,-0.0026756389618628473,1007,2574325.41285038,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,2,water,4,-0.0006225255090015203,-0.004903171956419539,1007,2574325.41285038,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,2,water,5,-4.3485020374628425e-05,-0.00013478222090412828,1007,2574325.41285038,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,water,1,-0.00010728844886578881,0.0005441043914242716,1011,2776332.157348156,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,water,2,-7.82211767379748e-05,0.0003852559734884853,1011,2776332.157348156,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,water,3,3.288152068475769e-05,0.0013961319551886175,1011,2776332.157348156,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,water,4,-2.227217040490226e-05,0.0006542480800360018,1011,2776332.157348156,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,3,water,5,-8.82247912424583e-05,0.0002715273949750463,1011,2776332.157348156,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,water,1,2.4252525620882537e-05,0.0005730382310139559,1007,2777806.4952178,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,water,2,5.1727424860953386e-05,0.0002957744757025038,1007,2777806.4952178,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,water,3,0.00017657779543922558,0.0022653080737635722,1007,2777806.4952178,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,water,4,4.247078439731378e-05,0.001133903787388979,1007,2777806.4952178,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,4,water,5,0.0001595864714969697,0.0011612143667824038,1007,2777806.4952178,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,water,1,-0.0002463177353358714,-0.0013848158201110738,1005,2807410.1710247993,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,water,2,-4.903695475114156e-05,-0.0004088246945483931,1005,2807410.1710247993,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,water,3,-0.00022646850532198615,-0.00026814630025395747,1005,2807410.1710247993,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,water,4,-0.0003928674336759197,-0.0026525751333559278,1005,2807410.1710247993,spline_logistic,nominal,Nominal water categories
spline_logistic_water_nominal,5,water,5,-7.998584405971565e-05,-0.00044965961381282504,1005,2807410.1710247993,spline_logistic,nominal,Nominal water categories
