model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,2,fish,3,-0.0010459425788435783,-0.007652284043722535,1007,2574325.41285038
spline_logistic,2,fish,4,-0.00043029268007802046,-0.0018550223165100244,1007,2574325.41285038
spline_logistic,2,fish,5,-0.000553765595171174,-0.004772176091847102,1007,2574325.41285038
spline_logistic,2,dairy_frequency,1,0.00031060842572008807,0.0013718939558166054,1007,2574325.41285038
spline_logistic,2,dairy_frequency,2,0.0001933313608630527,0.0004062339693720052,1007,2574325.41285038
spline_logistic,2,dairy_frequency,3,0.000437828402954088,0.0013796946187826231,1007,2574325.41285038
spline_logistic,2,dairy_frequency,4,0.00041198545798692976,0.001951830624723927,1007,2574325.41285038
spline_logistic,2,dairy_frequency,5,8.137273604114093e-05,0.00016582225367178793,1007,2574325.41285038
spline_logistic,2,dairy_type,1,-8.78515427863158e-05,-0.00459072162782781,1007,2574325.41285038
spline_logistic,2,dairy_type,2,-0.00028479960309288344,-0.0017742716012071336,1007,2574325.41285038
spline_logistic,2,dairy_type,3,-0.00030815194628217024,-0.004248737357588017,1007,2574325.41285038
spline_logistic,2,dairy_type,4,-0.001084944525380549,-0.011141474259757422,1007,2574325.41285038
spline_logistic,2,dairy_type,5,-0.0006131805435068416,-0.008382030687394959,1007,2574325.41285038
spline_logistic,2,wholegrain,1,0.00037632864713046943,0.0009599689330419547,1007,2574325.41285038
spline_logistic,2,wholegrain,2,0.0003203855731711003,-0.0006283914600965224,1007,2574325.41285038
spline_logistic,2,wholegrain,3,0.00023528955653695505,0.0007988177572969546,1007,2574325.41285038
spline_logistic,2,wholegrain,4,0.00029263884990410327,-0.00010781349955757413,1007,2574325.41285038
spline_logistic,2,wholegrain,5,0.0003387268997339099,0.00021907090583128674,1007,2574325.41285038
spline_logistic,2,legumes,1,-2.0498623708592456e-05,-0.00041816548770334805,1007,2574325.41285038
spline_logistic,2,legumes,2,2.2130082725918543e-05,0.001362646510851162,1007,2574325.41285038
spline_logistic,2,legumes,3,-0.0005022964017073195,-0.0034259457697199958,1007,2574325.41285038
spline_logistic,2,legumes,4,7.922010589248019e-05,0.0007483927471475527,1007,2574325.41285038
spline_logistic,2,legumes,5,-0.00017914317429820747,-0.0006298049837681896,1007,2574325.41285038
spline_logistic,2,fruit_days,1,6.232028021158076e-05,-0.002634627604257589,1007,2574325.41285038
spline_logistic,2,fruit_days,2,-0.0004112398427204844,-0.005787188112297392,1007,2574325.41285038
spline_logistic,2,fruit_days,3,-0.00018273916954181235,-0.004789934485765479,1007,2574325.41285038
spline_logistic,2,fruit_days,4,0.00014814302558727177,-0.0015379120161411741,1007,2574325.41285038
spline_logistic,2,fruit_days,5,-1.7110424010952086e-05,-0.0024580559154131487,1007,2574325.41285038
spline_logistic,2,fruit_portions,1,0.0008487163131435382,0.006076030629540985,1007,2574325.41285038
spline_logistic,2,fruit_portions,2,0.0001747075749216065,0.000878871738287601,1007,2574325.41285038
spline_logistic,2,fruit_portions,3,0.0004970490523648063,0.004042340619584639,1007,2574325.41285038
spline_logistic,2,fruit_portions,4,0.00038127989174868704,0.0032354936877481144,1007,2574325.41285038
spline_logistic,2,fruit_portions,5,0.0004937571684010822,0.0030092151990285254,1007,2574325.41285038
spline_logistic,2,vegetable_days,1,0.00039192971171259083,-0.0003491566316864425,1007,2574325.41285038
spline_logistic,2,vegetable_days,2,0.00021372341005732043,0.0003182091267971421,1007,2574325.41285038
spline_logistic,2,vegetable_days,3,-0.0001410909537294669,-0.003335541537868747,1007,2574325.41285038
spline_logistic,2,vegetable_days,4,6.240153076042532e-05,-0.0007786743525688422,1007,2574325.41285038
spline_logistic,2,vegetable_days,5,0.0003128819422579532,-0.0011267311713689665,1007,2574325.41285038
spline_logistic,2,vegetable_portions,1,-9.795647320434697e-05,-0.00080177777895718,1007,2574325.41285038
spline_logistic,2,vegetable_portions,2,-0.00021455743425172202,-0.001786704121160887,1007,2574325.41285038
spline_logistic,2,vegetable_portions,3,-0.0003323025070708363,-0.0019910778942409113,1007,2574325.41285038
spline_logistic,2,vegetable_portions,4,-0.0002470959385543481,-0.0023312069844668715,1007,2574325.41285038
spline_logistic,2,vegetable_portions,5,-0.000285470311205932,-0.0014429430880429361,1007,2574325.41285038
spline_logistic,2,label_ingredients,1,-1.3348550123415404e-05,-0.002222483370291073,1007,2574325.41285038
spline_logistic,2,label_ingredients,2,-9.638854328303248e-05,-0.0028557965807352037,1007,2574325.41285038
spline_logistic,2,label_ingredients,3,0.00024446083725548906,-0.0003066412383848638,1007,2574325.41285038
spline_logistic,2,label_ingredients,4,8.405926938956365e-05,-0.001410354764075028,1007,2574325.41285038
spline_logistic,2,label_ingredients,5,0.00012346212207867135,-0.001409172075879428,1007,2574325.41285038
spline_logistic,2,label_nutrition,1,-7.293881127887203e-05,-0.0034248044189993943,1007,2574325.41285038
spline_logistic,2,label_nutrition,2,0.00015610927424813958,-0.0009582193775677927,1007,2574325.41285038
spline_logistic,2,label_nutrition,3,0.00010143774235596426,-0.002072904435054812,1007,2574325.41285038
spline_logistic,2,label_nutrition,4,-1.1743496305505197e-05,-0.0012600755237758277,1007,2574325.41285038
spline_logistic,2,label_nutrition,5,6.084185102789297e-05,-0.0010486932209934352,1007,2574325.41285038
spline_logistic,2,label_warnings,1,0.0004832449790292681,0.0012370245347869124,1007,2574325.41285038
spline_logistic,2,label_warnings,2,-0.00011067867689262822,-0.0028952258123021712,1007,2574325.41285038
spline_logistic,2,label_warnings,3,0.00012137219803595722,-0.0020759905757937736,1007,2574325.41285038
spline_logistic,2,label_warnings,4,0.0010785062701694215,0.007736567356624202,1007,2574325.41285038
spline_logistic,2,label_warnings,5,0.000497807907326564,0.0022789793544205628,1007,2574325.41285038
spline_logistic,2,label_health,1,-0.0003789944703677106,-0.004540578985027244,1007,2574325.41285038
spline_logistic,2,label_health,2,-0.00014769570998379722,-0.0022470470023425726,1007,2574325.41285038
spline_logistic,2,label_health,3,-0.0004255908824203347,-0.006133961156406742,1007,2574325.41285038
spline_logistic,2,label_health,4,-0.0005713805717097453,-0.00442141746443292,1007,2574325.41285038
spline_logistic,2,label_health,5,-0.0002620929859748211,-0.003490798688344454,1007,2574325.41285038
spline_logistic,2,label_brand,1,-1.827083663466511e-05,7.25605154197062e-05,1007,2574325.41285038
spline_logistic,2,label_brand,2,0.0003746645249333991,0.001884978710291807,1007,2574325.41285038
spline_logistic,2,label_brand,3,0.00031167069586410245,0.0010873107262950876,1007,2574325.41285038
spline_logistic,2,label_brand,4,0.00017990851448212997,-8.559099621108235e-05,1007,2574325.41285038
spline_logistic,2,label_brand,5,0.00021601510701160787,0.0015127154983670676,1007,2574325.41285038
spline_logistic,2,label_discounts,1,-0.00027568966096427894,-0.0021714918617866674,1007,2574325.41285038
spline_logistic,2,label_discounts,2,0.0003021087503664588,0.001159988328414907,1007,2574325.41285038
spline_logistic,2,label_discounts,3,-6.791519706250693e-05,-0.00011136966530378434,1007,2574325.41285038
spline_logistic,2,label_discounts,4,9.239057625465286e-05,-8.962837468262652e-05,1007,2574325.41285038
spline_logistic,2,label_discounts,5,-0.0003601733668548712,-0.002337977611369557,1007,2574325.41285038
spline_logistic,2,water,1,-0.0008732704666476743,-0.007384380307263627,1007,2574325.41285038
spline_logistic,2,water,2,-0.0005910657804024666,-0.004594892148869212,1007,2574325.41285038
spline_logistic,2,water,3,-0.00036269237102526386,-0.0024771659521255485,1007,2574325.41285038
